player,passing_cmp,passing_att,passing_pct,passing_yds,passing_y/a,passing_td,passing_int,passing_sacks,rushing_att,rushing_yds,rushing_td,fumbles_lost,games_played,fantasy_points,fantasy_points_per_game,percent_rostered
Skylar Thompson (MIA),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1
Stetson Bennett (LAR),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1
Anthony Brown Jr. (LV),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Ben Chappell (WAS),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Adam Froman (ATL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Erik Ainge (NYJ),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Hunter Cantwell (BAL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Josh Johnson (BAL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1
Taysom Hill (NO),6,11,54.5,83,7.5,1,0,2,81,401,4,1,16,0.0,0.0,35.8
Jacob Eason (GB),0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0
Shane Buechele (BUF),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
John Wolford (TB),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Will Grier (PHI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Brett Smith (TB),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Brandon Allen (SF),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Nate Sudfeld (DET),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
Kyle Trask (TB),0,1,0.0,0,0.0,0,0,0,1,-1,0,0,2,-0.1,-0.1,0.1
Teddy Bridgewater (FA),0,0,0.0,0,0.0,0,0,0,2,-2,0,0,1,-0.2,-0.2,0.0
Matt Barkley (FA),0,0,0.0,0,0.0,0,0,0,3,-3,0,0,1,-0.3,-0.3,0.0
Nathan Peterman (NO),0,0,0.0,0,0.0,0,0,1,2,-4,0,0,2,-0.4,-0.2,0.0
Kyle Allen (PIT),0,0,0.0,0,0.0,0,0,0,13,-13,0,0,7,-1.3,-0.2,0.0
